sentence_1,sentence_2,label
අ.පො.ස. සාමාන්‍ය පෙළ (සා.පෙළ) විභාගය ප්‍රධාන විෂයයන් 6 කින් සහ අපේක්ෂකයාගේ කැමැත්ත පරිදි තෝරා ගත හැකි විෂයයන් තුනකින් (කාණ්ඩ විෂයන් ලෙස හැඳින්වේ) සහ සමස්තයක් වශයෙන් විෂයයන් 9 කින් සමන්විත වේ.,අ.පො.ස. සාමාන්‍ය පෙළ තුනකින් විභාගය ප්‍රධාන විෂයයන් 6 කින් පරිදි අපේක්ෂකයාගේ කැමැත්ත සහ තෝරා ගත හැකි විෂයයන් (සා.පෙළ) (කාණ්ඩ විෂයන් ලෙස හැඳින්වේ) සහ සමස්තයක් වශයෙන් විෂයයන් 9 කින් සමන්විත වේ.,0.6
"අම්ලයක්යනු, එහිජලීය ද්‍රාවණ, ඇඹුල් රසය, නිල්ලිට්මස්රතු කරලීමේ හැකියාව සහ,භෂ්මසමග සහ සමහරක් ලෝහ (කැල්සියම්වැනි) සමග ප්‍රතික්‍රියා කොටලවණතැනීමේ හැකියාව යන ගුණාංග සහිත.රසායනික ද්‍රව්‍යයයකි. අම්ල වල ජලීය ද්‍රාවණයන්හීpHඅගය 7 ට අඩු අගයයක් ගනියි. Ph යනු අම්ල හා භස්ම හදුනාගැනීමට විද්‍යාගාරයේ භාවිත දර්ශකයකි.Ph අගය 7 ට වැඩිනම් භාස්මික වනඅතර, එසේමද්‍රාවණයේහයිඩ්‍රජන් අයනසාන්ද්‍රණය ඉහළ අගයයක පවතින බවය. අම්ලයක ගුණාංග සහිත වන රසායන ද්‍රව්‍යය හෝ ද්‍රව්‍යය හෝ,ආම්ලිකයැයි හැඳින්වෙති.","අම්ලයක්යනු, එහිජලීය ද්‍රාවණ, ඇඹුල් රසය, නිල්ලිට්මස්රතු කරලීමේ හැකියාව සහ,භෂ්මසමග සහ සමහරක් ලෝහ (කැල්සියම්වැනි) සමග ප්‍රතික්‍රියා කොටලවණතැනීමේ හැකියාව යන ගුණාංග සහිත.රසායනික ද්‍රව්‍යයයකි. අම්ල වල ජලීය ද්‍රාවණයන්හීpHඅගය 7 ට අඩු අගයයක් ගනියි. Ph යනු අම්ල හා භස්ම හදුනාගැනීමට විද්‍යාගාරයේ භාවිත දර්ශකයකි.Ph අගය 7 ට වැඩිනම් භාස්මික වනඅතර, එසේමද්‍රාවණයේහයිඩ්‍රජන් අයනසාන්ද්‍රණය ඉහළ අගයයක පවතින බවය. අම්ලයක ගුණාංග සහිත වන රසායන ද්‍රව්‍යය හෝ ද්‍රව්‍යය හෝ,ආම්ලිකයැයි හැඳින්වෙති.",1.0
නැවත 1873 දී අනුරාධපුර කච්චේරිය පිහිටුවා රජයේ ඒජන්ත වරයෙකු පත්කිරීමෙන් පසු අනුරාධපුර පැරණි නගරය එළි පෙහෙළි කොට පුරාණ ගොඩනැගිලි පිළිබඳ පර්යේෂණ ආරම්භ කෙරිණි.,ඒජන්ත 1873 දී අනුරාධපුර කච්චේරිය පිහිටුවා රජයේ වරයෙකු නැවත පත්කිරීමෙන් පසු අනුරාධපුර පැරණි නගරය එළි පෙහෙළි කොට පුරාණ ගොඩනැගිලි පිළිබඳ පර්යේෂණ ආරම්භ කෙරිණි.,0.6
ගම්පොළ යුගයේ දී බිහි වූ සිව්පද ආකෘතිය දියුණුවට පත් වීම සිදුවූයේ කෝට්ටේ යුගයේ දී ය. “මෙතෙක් මාත්‍රා ඡන්දසින් බැදුණු සිංහල කවිය” මෙකල “වර්ණ ඡන්දසට සැළකිලි දක්වන්නට වූ” බව බන්දුසේන ගුණසේකර පවසයි.කෝට්ටේ යුගයේ පද්‍යයේ නැගීමක් සිදුවුවත් ගද්‍යයේ නැගීමක් සිදු නොවිණි. සන්දේශ කාව්‍යයේ සිදු වූ නැගීම හේතුවෙන් කෝට්ටේ යුගය සන්දේශ කාව්‍යයේ යුගය ලෙස ද හැදින්වෙයි. සිව්පද කාව්‍යය ශීඝ්‍ර ලෙස දියුණු වූයේ ද සන්දේශ කාව්‍ය නිසා ය.,"කිසිදා ක්ෂය වීමකට ලක් වන බවක් නිරීක්ෂණය නොකැරුණු එක්ස්ථායී සමස්ථානිකයක්හෝ ඇති මූලද්‍රව්‍ය 80ක් පවතී. මේ අනුව පවතින ස්ථායී සමස්ථානික ගණන 255ක් පමණ වේ. කෙසේ වුවත් අස්ථායී ලෙස වර්ග කැරුණු සමස්ථානික දහස් ගණනක් ඇත. මෙම විකිරණශීලි සමස්ථානික, තත්පරයෙන් පංගුවක සිට සති, වසර, වසර බිලියන ගණන් හෝ වසර ට්‍රිලියන ගණන් දක්වා විචලනය වන කාල පරාස තුල ක්ෂය වීමට ලක් වේ.",0.22
ඇමරිකා එක්සත් ජනපදයේ පාසල් අධ්‍යාපනයෙහි පන්ති කාමර ඉගෙනුම්-ඉගැන්වීම් ක්‍රියාවලියට වඩා වැඩි කාලයක් විෂය සමගාමී ක්‍රියාකාරකම් සඳහා යොදවන අතර ඒ සඳහා ඉහළ පිළිගැනීමක් ද පවතියි. මේ අනුව ලංකාවේ මෙන්ම ලෝකයේ වෙනත් බොහෝ රටවල පුළුල් ක්‍ෂේත්‍ර ගණනාවක පැතිරුණු විෂය සමගාමී ක්‍රියාකාරකම් ක්‍රියාත්මක වන බව පැහැදිලි වේ.,ඒ එක්සත් ජනපදයේ පාසල් අධ්‍යාපනයෙහි පන්ති කාමර ඉගෙනුම්-ඉගැන්වීම් ක්‍රියාවලියට වඩා වැඩි කාලයක් විෂය සමගාමී ක්‍රියාකාරකම් සඳහා යොදවන අතර ඇමරිකා සඳහා ඉහළ පිළිගැනීමක් ද පවතියි. මේ අනුව ලංකාවේ මෙන්ම ලෝකයේ වෙනත් බොහෝ රටවල පුළුල් ක්‍ෂේත්‍ර ගණනාවක පැතිරුණු විෂය සමගාමී ක්‍රියාකාරකම් ක්‍රියාත්මක වන බව පැහැදිලි වේ.,0.6
"දියවැඩියාරෝගය නිසා දෙපාවල ස්නායු ටිකෙන් ටික අඩපණ වීම සිදුවේ. මෙසේ ස්නායු අඩපණ වූ විට රෝගියාගේ කකුලේ සංවේදනා දැනීම අඩු වී ගොස් නැත්තටම නැති වී යාමට පුළුවන. පාදයේ සංවේදනා නොදැනී යාමෙන් කිසියම් තුවාලයක් ඇතිවීම, එය පැසවා ආසාදනය වීම හා දිනෙන් දින තුවාලය නරක අතට හැරීම රෝගියා නොදැනුවත්වම සිදුවිය හැක.","දියවැඩියාරෝගය නිසා දෙපාවල ස්නායු ටිකෙන් ටික සංවේදනා වීම සිදුවේ. මෙසේ ස්නායු අඩපණ වූ විට රෝගියාගේ කකුලේ යාමෙන් දැනීම අඩු වී ගොස් නැත්තටම නැති වී යාමට පුළුවන. පාදයේ සංවේදනා නොදැනී අඩපණ කිසියම් තුවාලයක් ඇතිවීම, එය පැසවා ආසාදනය වීම හා දිනෙන් දින තුවාලය නරක අතට හැරීම රෝගියා නොදැනුවත්වම සිදුවිය හැක.",0.6
"හලාවත, මීගමුව, මෝදර(කොළඹ), හික්කඩුව, අම්බලන්ගොඩ, කල්පිටිය,බේරුවල, ගාල්ල, මිරිස්ස, තංගල්ල, කිරින්ද, කල්කුඩා(මඩකලපුව), මයිලිඩ්ඩි(පේදුරුතුඩුව), ත්‍රිකුණාමලය.",එහෙත් අධ්‍යාපනයේ නිමැවුම් ඵල දෙස බැලීමේ දී එකී අරමුණු ලඟා වූ පිරිස් අවම බව පැහැදිලි වේ. සමස්තයක් ලෙස සැලකූ කල ලාංකීය පාසල් පද්ධතිය තුළ විෂය සමගාමී ක්‍රියාකාරකම් සඳහා පාසල් ක්ෂේත්‍රයේ ලැබී ඇති අඩු වැදගත්කම මෙන්ම ක්‍රියාත්මක වීමේ දුබලතාද හේතු වී ඇති බව අධ්‍යාපනඥයින්ගේ අදහසයි.,0.16
කාර්මික ආසවන කුළුණක හරස්කඩ - මෙහි කුලුණේ විවිධ මට්ටම් සහ ඒවායේ ඇති බුබුලුවහන්තරා දැක්වේ.,කාර්මික ආසවන කුළුණක හරස්කඩ විවිධ මෙහි කුලුණේ මට්ටම් - සහ ඒවායේ ඇති බුබුලුවහන්තරා දැක්වේ.,0.59
මහනුවර නගරය කඳුකර ප්‍රදේශයේ පිහිටා ඇත,නුවර නගරය ශ්‍රී ලංකාවේ මධ්‍යම කඳුකරයේ පිහිටා ඇත,0.6
"ප්‍රභාසංස්ලේෂණය මගින් ජලය ඔක්සිකරණයෙන් ඔක්සිජන් නිපදවීම, ඇද වී ඇති ඊතල ආකාර රේඛා සටහනින් photon 4ක් මගින් S තත්වයේ චක්‍රයක් ඔස්සේ ඔක්සිජන් නිදහස් කිරීමේ මධ්‍යස්ථාන හරයෙන් ඉලෙක්ට්‍රෝන 4ක් උත්තේජිත තත්වයට පත් කර නිදහස් කිරීම නිරූපණය වේ.","මුල් කාලයේදී , ජීවය පවතින දෑ නවීන විද්‍යාවේ නියමයන්වල විෂයක් නොවන අතර අජීවී දෑ නවීන විද්‍යාවේ නියමයන්වල විෂයක් යන්න පොදු මතයක් විය. එය එසේ ප්‍රකාශ වූයේ ජීවිකොටස් වලට පමණක් තවත් ජීවි අණු බිහිකළ හැක යන මතයේ සිටියි. ඉන් පසු 1828 දී ෆෙඩ්රික් වෝලර් (Fredrich Wohler) විසින් යූරියා සංස්ලේෂණය නමින් ලිපියක් පල කරන ලද අතර එහිදී ඔහු විසින් කාබනික ‍සංයෝගයන් කෘතීමව නිපදවිය හැකි බව ඔප්පු කර පෙන්වන ලදී.",0.58
