text,label
ඕස්ට්රේලියානු ජාතික ක්රිකට් කණ්ඩායමේ 200304 තරගවාරයේ ශ්රී ලංකාවේ කල සංචාරය 2004 පෙබරවාරි 20 සිට 2004 මාර්තු 28 දක්වා පැවතුනි,
මෙම තරගමාලාවට ටෙස්ට් තරග තුනක් සහ එක්දින තරග පහක් ඇතුළත් විය,
ඔස්ට්රේලියාව ටෙස්ට් තරගමාලාව 30ක් ලෙසත් එක්දින තරගාවලිය 32 ක් ලෙසත් ජයග්රහණය කළේය,
" ක්රීඩාංගණය 
පහත ක්රීඩාංගණ සංචාරය සඳහා ස්ථාන ලෙස තෝරාගෙන 2003 ඔක්තෝබර් 30 දින ප්රකාශයට පත් කරන ලදී",
" ඉතිහාසය 
උපුටා ගැනීමේ අයිතිය මුද්රණාල බිහි වීමෙන් පසු පුළුල්ව පැතිරුණු  සාක්ෂරතාවයත් සමග ආරම්භ විය",
නීතිමය සංකල්පයක් ලෙස මූලිකව මෙය දහ අටවන සියවසේ ආරම්භයේදී බ්රිතාන්යයේදී මුද්රණකරුවන්ගේ ඒකාධිකාරයට ප්රතික්රියාවක් ලෙස ප්රතිස්ඨාපනය විය,
2වන චාල්ස් රජු විසින් නීත්යානුකූල  නොවන කෘතීන් පිළිබඳ  සලකා බලා බලපත්ර පනත 1662 පාර්ලිමේන්තු පනතක් මගින් ඉදිරිපත් කරන ලදී,
මෙමගින් බලපත්රලාභි  කෘතීන්ගේ ලේඛණයක් ආරම්භ වූ අතර මුද්රණකරුවන් හට එම පොත් ලියාපදිංචිය සඳහා තැන්පතුවක් තැබීමට නියම කරන ලදී,
ඈන් පනත යනු ප්රථම නියමාකාර උපුටා ගැනීමේ අයිතිය පිළිබඳ පනතකි,
එමගින් ප්රකාශකයන් හට එම උපුටා ගැනීමේ අයිතිය අදාල කාලය නිමා කිරීමට ස්ථාපිත කාලයක් නියම කරන ලදී,
මෙය නීතිමය සංකල්පයක් ලෙස පොත් සහ සිතියම් සෑම නව්ය කර්මාන්තයකට අනුකූලවම ප්රකාශ කිරීමට වර්ධනය විය,
වත්මනෙහි මෙය ශ්රව්ය  පටිගත කිරීම් සිනමා පට ඡායාරූප මෘදුකාංග සහ ගෘහනිර්මාණ කාර්යයන් යනාදී පුළුල් පරාසයක් ආවරණය කරයි,
1886 දී බර්න් කන්වෙන්ශන් මගින් ප්රථමවරට  ද්විපාර්ශවික වෙනුවට පරම ජාතිකයන් අතර අයිතිය ස්ථාපිත කරන ලදී,
මේ යටතේ නිර්මාණශීලී කාර්යයන් සඳහා උපුටා ගැනීමේ අයිතිය නැවත දැක්විය යුතු නොවේ,
මක්නිසාද යත් එය ස්වකීයවම නිර්මාණයේදී දායාද වන බැවිනි,
ලේඛකයෙකු විසින් බර්න් කන්වෙන්ශන් වෙත සාමාජික වූ රටවල් වලදී උපුටා ගැනීමේ අයිතියට ලියාපදිංචි  වීමට හෝ ඉල්ලුම් කිරීමට අවශ්ය  නොවේ,
යම් නිර්මාණශීලී කාර්යයක් ස්ථාපිත ඌ වහාම එම නිර්මාණකරුවා එම නිර්මාණයට හෝ එහි ව්යුත්පන්නයන්ට  ස්වයංක්රීම සියලුම උපුටා ගැනීමේ අයිතීන් පිළිබඳ කාර්යයන් සඳහාම සුදුසුකම් ලබයි,
මෙමගින් විදේශීය නිර්මාපකයන්ද දේශීය නිර්මාපකයන් හා සමානවම එයට අත්සන් තැබූ සෑම රටකදීම අනුමත වේ,
එක්සත් රාජධානිය විසින් මේ සඳහා 1887 දී අත්සන් තැබූ නමුත් එහි බොහෝ කොටස් වසර 100යක් අට පසුව 1988දී උපුටා ගැනීම් නිර්මාණ සහ පේටන්ට් පනත සම්මත වන තුරුම  භාවිතයට නොගැනුනි,
එක්සත් ජනපදය මෙයට 1989 වනතුරුම අත්සන් නොතබන ලදී,
එක්සත් ජනපදය සහ බොහෝ ලතින් ඇමරිකානු රටවල් මේ වෙනුවට 1919දී බුවනෝස් අයර්ස් කන්වෙන්ශන් වෙත අත්සන් තබන ලදී,
"මෙමගින් උපුටා ගැනීම තහනම් යනුවෙන් සඳහන් කිරීම අවශ්ය 
විය",
එසේම අත්සන් තැබූ රාජ්යයන් හට කාල සීමා පැනඅදාවකාශ සකසන ලදී,
විශ්වීය උපුටාගැනීම් පිලිබඳ පනත 1952දී එලිවනදකන ලද අතර සෝවියට් දේශය වැනි ජාතීන් මගින්ද අනුමත කරන ලදී,
බර්න් කන්වෙන්ශන්හි ඇතුලත් රෙගුලාසි  ලෝක වෙලඳ සංවිදානයේ ටී ආර් අයි පී එස් ගිවිසුම මගින් එකි දකවන ලදී,
2002දී ඩබ්ලිව් අයි පී ඕ උපුටා ගැනීමේ පනත මගින් තාක්ශණය උපුටා ලබාගැනීම  භාවිතය සදහා ඉතා ඉහල නීති පනවන ලදී,
පියවිඇසට පෙනෙන  අනෙකුත් ධූම කේතු මෙයට වඩා දීප්තිමත් සහ ප්රේක්ෂණීය විය හැකි නමුදු ඒවා දිස්වන්නේ වසර දහස් ගණනකට එක් වරකි,
අභ්යන්තර සෞර ග්රහ මණ්ඩලයෙහි අවසන් වරට හැලී දක්නට ලැබුණේ 1986දී වන අතර නැවතත් පෙනෙන්නේ  මධ්ය2061 හිදීය,
අභ්යන්තර සෞර ග්රහ මණ්ඩලය වෙත හැලීගේ යළිපැමිණීම්  අඩුම වශයෙන් ක්රිපූ 240 සිට තාරකා විද්යාඥයින් විසින් නිරීක්ෂණය කොට වාර්තාගත කොට ඇත,
ධූමකේතුවෙහි දර්ශනය වීම් වල පැහැදිලි වාර්තාගත කිරීම් චීන බැබිලෝනියානු සහ මධ්යතන යුරෝපියානු වංශකථා වල දක්නට ඇතත් එකම වස්තුව යළිදර්ශනය වීම් ලෙසින් එකල හඳුනාගෙන නොතිබිණි,
ධූමකේතුවෙහි ආවර්තිත ගමන වසර 1705දී පළමුවෙන් හඳුනාගත්තේ  ඉංග්රීසි තාරකාවිද්යාඥ  එඩ්මන්ඩ් හැලී විසින් වන අතර එය නම් කර ඇත්තේ ඔහු අනුව යමිනි,
කාන්තාරීකරණය  වර්තමාන ලෝකයේ තවත් ප්රබල පාරිසරික ගැටලුවක් වේ,
කාන්තාරීකරණය යන වචනයෙන් අදහස් වනනේ ලෝකයේ කාන්තාර නොවන වගාබිම් ඇතුළු වෙනත්බිම් කාන්තාර බවට පත්වීමේ ක්රියාවලියයි,
ඒ අනුව ශුෂ්ක හා අර්ධ ශුෂ්ක ප්රදේශවල කෘෂිකාර්මික කටයුතු සඳහා යොදාගත් භූමිය වගාකල නොහැකි තත්වයට පත්වීම කාන්තාරීකරණය ලෙස සරළව දැක්විය හැකිය,
එක්සත් ජාතීන්ගේ පරිසරය හා සංවර්ධනය පිළිබඳ ජගත් කොමිසමේ ගණන් බැලීම් වලට අනුව කාන්තාර ලෙසට ස්ථිර ලෙසම පිරිහී ඇති භූමිය වාර්ෂිකව හෙක්ටයාර් මිලියන 6 බැගින් වර්ධනය වේ,
කාන්තාරීකරණය ලෝකයේ සෑම ප්රදේශයකම පාහේ ව්යාප්තව ඇති මුත් ඉතාම විනාශකාරී තත්වයට පත්වී ඇත්තේ අප්රිකාව ආසියාව හා ලතින් ඇමරිකානු රටවල වියළිබිම් ආශ්රිතවයි,
කාන්තාරීකරණය කෙතරම් දරුණු තත්වයට පත්වී තිබේදයත් ලෝකයේ ගොඩබිම් ප්රමාණයෙන් 13ම කාන්තාරීකරණයට ගොදුරු වී ඇත,
කෙසේවෙතත් කාන්තාරීකරණය පැතිරුණු ප්රධාන ප්රදේශය ලෙස අප්රිකාවේ සාහෙල් කලාපය දැක්විය හැකියි,
ඒ ප්රධාන ලෙසම මානව කටයුතු හේතුවෙන් සිදුවන කාන්තාරීකරණයකි,
" කාන්තාරීකරණයට හේතු 
කාන්තාරීකරණය ස්වභාවික හා මානුෂික සාධකවල සාමූහික ඒකාබද්ධතාවයක ප්රතිඵලයකි",
දුර්වල ඉඩම් කළමනාකරණය හා නුසුදුසු වගාක්රම අනුගමනය කිරීම,
ගෝලීය වශයෙන් සිදුවන වායුගෝලීය තාපවත් වීම හා නියඟය කාන්තාරීකරණය සඳහා හේතුවන ප්රධාන සාධකයන් වේ,
ඉහත දැක්වූ සාධක නිසා ඉතියෝපියාව මාලි නයිගර් චැඩ් හා සුඩානය වැනි ප්රදේශ දෙසට සහරා කාන්තාරය ව්යාප්ත වීමට පටන්ගෙන තිබේ,
මේ ආකාරයට සහරා කාන්තාරය වාර්ෂිකව උතුරු හා දකුණු දිශා වලට හෙක්ටයාර් 100000 ක් පමණ පැතිරී යන බවට ඇස්තමේන්තු කර තිබේ,
උදාහරණ ලෙස බ්රසීලයේ ඇමසෝනියා මෙහෙයුම යටතේ ඇමසන් වනාන්තර ප්රදේශයේ වනාන්තර බිම් විශාල ලෙස එළිපෙහෙළි කිරීම සිදුව ඇත,
පාංශූඛාදන ගැටලුව ලෝකයේ සෑම රටකම පාහේ පොදු තත්වයකි,
1970 දශකයේ අග භාගය වන විට ඇමරිකා එක්සත් ජනජදයේ කෘෂිකාර්මික බිම් වලින් 13ට  පමණ මෙම ගැටලුව අදාල විය,
" කාන්තාරීකරණයේ ප්රතිඵල 
ලොව පුරා විශේෂයෙන් සංවර්ධනය වෙමින් පවතින රටවල බිලියන 1",
මේ නිසා ඇතිවන ප්රධාන ගැටලු කීපයක් හදුනාගත හැකිය,
" වගාබිම් අහිමි වීම 
අප්රිකාව ආසියාව හා ලතින් ඇමරිකානු කලාපයන්හි හෙක්ටයාර් මිලියන 870ක භූමියක් හෙවත් කෘෂිකාර්ම්ක බිම් වලින් 18",
" වගාබිම් වල ඵලදායීතාවය අඩුවීම 
එක්සත් ජාතීන්ගේ සංවර්ධන වැඩසටහන  ඇස්තමේන්තු කර ඇති ආකාරයට ලෝකයේ වනාන්තර තෘණ භූමි වැසිදියෙන් වගාකරන බිම් හා වාරිමාර්ග පහසුකම් සැපයෙන බිම් වලින් හෙක්ටයාර් බිලියන 3",
ලෝකයේ වනාන්තර හා තෘණභූමි වලින් 63ක් හෙවත් හෙක්ටයාර් බිලියන 2,
6 ද වැසි ජලයෙන් වගාකරන භූමියෙන් 60ක් හෙවත් හෙක්ටයාර් මිලියන 347ද වාරිමාර්ග ජල සම්පාදන බිම් වලින් 30ක් හෙවත් හෙක්ටයාර් මිලියන 40ද මීට අයත් වේ,
" සාගතය පැතිරීම 
ඉහත හේතු නිසා ජනතාවට අවශ්ය ආහාර සපයා ගැනීමට දුෂ්කර වී සාගත පැතිරේ",
19821983 කාලයේ අප්රිකාවේ ඇතිවූ සාගතය පුද්ගලයින් මිලියන 35ට සෘජු වශයෙන් අදාල විය,
වැනි රාජ්ය එසේ සාගත පැතිර ගිය රාජ්ය වේ,
" කාන්තාර වර්ධනය වීම 
මෙය කාන්තාරීකරණයේ තවත් සෘජු ප්රතිඵලයකි",
සහරා කාන්තාරය ක්රමයෙන් පුළුල් වන බව සොයාගෙන තිබේ,
" කාන්තාරීකරණය වළක්වාගත හැකි ක්රියාමාර්ග 
තෘණ භූමිවල ප්රමාණය ඉක්මවා සතුන් ඇති නොකිරීම",
ඒ ඒ බිම්වලට උචිත වගා ක්රම නිවැරදිව යොදා ගැනීම,
මිනිසාගේ සමාජ තත්වයන් දියුණු කිරීමට රාජ්ය ප්රතිපත්ති සකස්  කිරීම,
මෙම මාර්ගය ආර්ය අෂ්ඨාංගික මාර්ගය බව බුදුන් වහන්සේ වදාල සේක,
කොළඹ විශ්වවිද්යාලය යනු ශ්රී ලංකාවේ කොළඹ නගරය මූලික කරගෙන පිහිටි රාජ්ය පර්යේෂණ විශ්වවිද්යාලයකි,
මෙය ශ්රී ලංකාවේ නූතන උසස් අධ්යාපනයේ ක්ෂේත්රයේ පැරණිතම ආයතනය මෙන්ම දිවයිනේ පිහිටි දෙවන විශාලතම විශ්වවිද්යාලයද වෙයි,
කොළඹ විශ්වවිද්යාලය ස්වාභාවික විද්යා සමාජ විද්යා සහ භෞතික විද්යා රසායන විද්යා මෙන්ම ගණිතය පරිගණක විද්යාව සහ නීතිය පිළිබඳවද විශේෂ අධ්යාපනය ලබා දෙයි,
දකුණු ආසියාවේ හොඳම විශ්වවිද්යාල 10න් එකක් ලෙස කොළඹ විශ්වවිද්යාලය සැලකේ,
ශ්රී ලංකාවේ උසස් අධ්යාපන ආයතන වර්ගීකරණය අනුව 2015 වර්ෂයේදී මෙම විශ්ව විද්යාලය 1 ස්ථානය හිමිකරගෙන තිබේ,
ලෝකයේ හොඳම විශ්වවිද්යාල වර්ගීකරණය අනුව මෙම විශ්ව විද්යාලය හිමිකරගෙන ඇත්තේ 2135 ස්ථානයයි,
1921 දී කොළඹ යුනිවර්සිටි කොලීජිය  නමින් ලන්ඩන් විශ්වවිද්යාලයේ අනුබද්ධ ආයතනයක් ලෙස කොළඹ විශ්වවිද්යාලය ආරම්භ විය,
උපාධි පිරිනැමීම 1923 සිට සිදු කරන ලද අතර මෙම විශ්වවිද්යාලයේ මූලය 1870 බිහිවූ කොළඹ වෛද්ය විද්යාලය දක්වා  දිව යයි,
කොළඹ විශ්වවිද්යාලය විද්යා නීති ආර්ථික විද්යා ව්යාපාර සාහිත්යය සහ දේශපාලන යන ක්ෂේතයන්හි කැපී පෙනෙන සේවාවන් ඉටු කළ ආදි විද්යාර්ථීන් රැසක් ලොවට දායාද කර තිබේ,
" දළ විශ්ලේෂණය 
මෙය රාජ්ය විශ්ව විද්යාලයක් වන අතර අනෙකුත් රාජ්ය විශ්ව විද්යාලවලට මෙන්ම මුල්ය ප්රතිපාදන සම්පූර්ණයෙන්ම පාහේ විශ්ව විද්යාල ප්රතිපාදන කොමිෂන් සභාව  හරහා රජයෙන් ලබාදෙනු ලබයි",
එම නිසා උප කුලපති ධූරය සහ සියළු පරිපාලන ධූරයන් ශ්රී ලංකාවේ ජනාධිපති විසින් පත් කරනු ලබයි,
බුද්ධිය සැමතැන බැබළේ යන තේරුම සහිත බුද්ධි සර්වත්ර භ්රජතේ යන සංස්කෘත වදන විශ්වවිද්යලයීය ආදර්ශ පාඨය වේ,
අධ්යයනාංශ 41 කින් සමන්විත වන පීඨ 10ක් ද වෙනත් අනුබද්ධ ආයතන 8 කින්ද හා 11000 පමණ ශිෂ්ය ප්රජාවකගෙන්ද මෙම සරසවිය සමන්විත වෙයි,
බොහොමයක් පීඨ අභ්යන්තර හා බාහිර උපාධි පාඨමාලා පිරිනමන අතර ඉන් සමහරක් බාහිර සිසුන් සඳහා පාඨමාලා සහ දුරස්ථ අධ්යයන වැඩසටහන්ද පිරිනමයි,
" පිහිටීම 
කොළඹ නගර මධ්යයයේ කුරුඳුවත්ත ප්රදේශයේ අක්කර 50ක ප්රදේශයක් පුරා මෙම සරසවිය පිහිටා තිබේ",
එහි පරිපාලන මූලස්ථානය සනාතන මන්දිරය  ලෙස හඳුන්වන අතර එය උපකුලපති වරයාගේ කාර්යාලයද වේ,
මෙම ගොඩනැගිල්ල කොළඹ නගර නිර්මාණයේ සංධිස්ථානයක් ලෙස සලකනු ලැබේ,
රීඩ් මාවතෙන් අනෙක් පස කොළඹ සරසවි පුස්තකාල ගොඩනැගිල්ල ශාස්ත්ර පීඨය අධ්යාපන පීඨය නීති පීඨය ක්රීඩාගාරය සහ කළමනාකරණ හා මූල්ය පීඨය පිහිටා තිබේ,
" අධ්යයන කටයුතු 
විශ්ව විද්යාලයය පීඨ 7කින්ද වෙනත් ආයතන 8කින්ද දෙපාර්තමේන්තු 41කින්ද සිසුන් 11000කින්ද සමන්විත වේ",
බොහෝ පීඨ විසින් උපාධි හා පශ්චාත් උපාධි පිරිනමනු ලබයි,
එමෙන්ම අමතර බාහිර පාඨමාලා දුරස්ථ හා බාහිර සිසුන් සඳහා පවත්වනු ලබයි,
උපාධි අපේක්ෂකයන් 9100ක් 2009 වසරේ සිට ඇති අතර එම වසර වන විට වාර්ෂික ඇතුලත් කර ගැනීම 2315ක් විය,
උපාධිධරයින් සංඛ්යාව එම වසර වන විට 2504ක් වූ අතර එය රටේ ඉහළම අගය විය,
එමෙන්ම විහ්ව විද්යාලයෙන් දුරස්ථ අධ්යාපන ක්රමයට ඉගෙනුම ලබන බාහිර සිසුන් සංඛ්යාවද සැලකිය යුතු අගයක් ගනී,
උපාධි හා පශ්චාත් උපාධි පාඨමාලා වලින් වැඩිමනක් ඉංග්රීසි භාෂාවෙන් සිදුකරනු ලබයි,
කොළඹ විශ්ව විද්යාලය සම්පූර්ණයෙන්ම රාජ්ය විශ්ව විද්යාලයයක් වන අතර ප්රතිපාදන කොමිසම මෙය පවත්වාගෙන යාම සඳහා මූල්ය ආධාර දෙනු ලබයි,
එම නිසා මෙහි අධ්යයන කටයුතු සම්පූර්ණයෙන්ම නොමිලේ වේ,
1978 අංක 16 දරණ විශ්ව විද්යාල පණත මඟින් හා සංශෝදිත 1985 අංක 7 දරණ මඟින් නීතිමය ප්රතිපාදන සපයයි,
විශ්ව විද්යාල පරිපාලනය අංශ දෙකකින් සමන්විත වන අතර කවුන්සිලය  සහ අධ්යයන සෙනේටය  නමින් ඒවා හඳුන්වයි,
මෙම බෙදීම පැරණි ලංකා විශ්ව විද්යාලයය සමයේ තිබුණු පරිපාලන ව්යුහය පාදක කොට ගත්තකි,
බොහෝ නිලධාරී පත් කිරීම් සිදුකරන්නේ විශ්ව විද්යාල ප්රතිපාදන කොමිෂන් සභාවේ රෙකමදාරුව මත මෙම අංශයෙනි,
" කුලපති 
විශ්ව විද්යාලයේ ප්රධානියා වන අතර සියලුම උපාධීන් පිරිනමනු ලබන්නේ කුලපති විසිනි",
නමුත් කුලපති සතු වැඩකටයුතු වලින් වැඩිමනක් කෙරෙන්නේ උප කුලපති අතිනි,
කුලපති තනතුරට පත් කිරීම් සිදුකරන්නේ ශ්රී ලංකාවේ ජනාධිපති විසින් වන අතර බොහෝ විට අධ්යයන කටයුතු වල හෝ  ආගමික හෝ සිවිල් සංවිධානයක සම්භාවනීය පුද්ගයෙකුට මෙම තනතුර පිරිනමනු ලබයි,
මේ වන විට ගරු ආචාර්ය ඔස්වල්ඩ් ගෝමස් හිමිපාණන් විසින් මෙම තනතුර හොබවනු ලබයි,
" උප කුලපති 
විහ්ව විද්යාලයේ එදිනෙදා වැඩකටයුතු කළමණාකරණය සිදු වන්නේ උප කුලපති විසිනි",
මෙම තනතුරද ශ්රී ලංකා ජනාධිපති විසින් පත් කරනු ලබයි,
උපකුලපති විසින් පත්කරන මේ තනතුර මේ වන විට හොබවන්නේ ආචාර්ය රන්ජන් හෙට්ටිආරච්චි මහතායි,
ඔරේන්ජ් වෝක් දිස්ත්රික්කය යනු බෙලීස් හි වයඹ දෙසින් පිහිටි දිස්ත්රික්කයකි එහි දිස්ත්රික් අගනුවර ඔරේන්ජ් වෝක් ටවුන් හි ඇත,
වර්ග සැතපුම් 1829  ක වපසරියකින් යුත් ඔරේන්ජ් වෝක් දිස්ත්රික්කය බෙලීස් දිස්ත්රික්කයේ උතුරුවයඹ දෙසින් පිහිටා ඇත,
මෙය බෙලීස් හි අනෙකුත් දිස්ත්රික්ක හා සසඳන විට මුළු භූමි ප්රමාණය අනුව දෙවන විශාලතම දිස්ත්රික්කය වන අතර නැගෙනහිරින් බෙලීස් සහ කොරෝසාල් දිස්ත්රික්ක උතුරින් මෙක්සිකෝව සහ බටහිරින් ග්වාතමාලාව අතර පිහිටා ඇත,
මෙම දිස්ත්රික්කයේ උක් බඩ ඉරිඟු සහල් බඩ ඉරිඟු සහ එළවළු වලින් මෙම ඉඩම අධික ලෙස වගා කර ඇති අතර මෙම කෘෂිකර්මයෙන් සැලකිය යුතු ප්රමාණයක් මෙනොනයිට් ගොවීන් විසින් සිදු කරනු ලැබේ,
ආර්ථිකයේ ද්විත්ව කුළුණු වන්නේ මූල්ය සේවා  සහ සංචාරක ව්යාපාරය  ය,
කෙසේ වෙතත් ආර්ථික වශයෙන් අක්වෙරළ මූල්ය මධ්යස්ථානයක් ලෙස භූමියේ තත්ත්වය හා සම්බන්ධ මූල්ය සේවා බොහෝ දුරට වැදගත් වේ,
ට්රාන්ස්පේරන්සි ඉන්ටර්නැෂනල් ආයතනයට අනුව බ්රිතාන්ය වර්ජින් දූපත් යනු වත්කම් සහ සොරකම් කරන ලද අරමුදල් සඟවා ගැනීමට භාවිතා කරන නිර්නාමික සමාගම් සඳහා ඉහළම සංස්ථාගත කිරීමේ කේන්ද්රස්ථානයකි,
බ්රිතාන්ය වර්ජින් දූපත් වල නිල මුදල් ඒකකය 1959 සිට එක්සත් ජනපද ඩොලරය  වන අතර එය එක්සත් ජනපද වර්ජින් දූපත් විසින් ද භාවිතා කරන මුදල් ඒකකයයි,
" සංචාරක ව්යාපාරය 

ජාතික ආදායමෙන් ආසන්න වශයෙන් 45 ක් සංචාරක ව්යාපාරය විසින් දරනු ලැබේ",
මෙම දූපත් එක්සත් ජනපද පුරවැසියන් සඳහා ජනප්රිය ගමනාන්තයකි,
සංචාරකයින් බොහෝ සුදු වැලි සහිත වෙරළ තීරයන් නැරඹීමට වර්ජින් ගෝර්ඩා හි නාන තටාක නැරඹීමට ඇනෙගාඩා අසල කොරල් පරවල ස්නෝකල් කිරීමට හෝ ජොස්ට් වැන් ඩයික් හි සුප්රසිද්ධ බාර් අත්විඳීමට නිතර පැමිණේ,
" මූල්ය සේවා 
මූල්ය සේවා භූමියේ ආදායමෙන් අඩකට වඩා දායක වේ",
මෙම ආදායමෙන් වැඩි ප්රමාණයක් ජනනය වන්නේ අක්වෙරළ සමාගම් සහ ඒ ආශ්රිත සේවාවන් සඳහා බලපත්ර ලබා දීමෙනි,
බ්රිතාන්ය වර්ජින් දූපත් යනු අක්වෙරළ මූල්ය සේවා කර්මාන්තයේ සැලකිය යුතු ගෝලීය ක්රීඩකයෙකි,
2001 සිට බ්රිතාන්ය වර්ජින් දූපත් වල මූල්ය සේවා ස්වාධීන මූල්ය සේවා කොමිසම විසින් නියාමනය කර ඇත,
සිට්කෝ සමාගම් සමූහය සහ කුරකාඕ ජාත්යන්තර භාර සමාගම ලෙසද හැඳින්වේ 1948 දී ආරම්භ කරන ලද බ්රිතාන්ය වර්ජින් දූපත් වල මූලස්ථානය ඇති පුද්ගලික හිමිකාරීත්වය සහිත ගෝලීය හෙජ් අරමුදල් පරිපාලකයෙකි,
එය ලොව විශාලතම හෙජ් අරමුදල් පරිපාලකයා වන අතර පරිපාලනය යටතේ ඩොලර් ට්රිලියන 1 කට වඩා වත්කම් කළමනාකරණය කරයි,
ඔක්ස්ෆෑම් ඇතුළු ප්රචාරකයින් සහ රාජ්ය නොවන සංවිධාන විසින් බ්රිතාන්ය වර්ජින් දූපත් නිතර බදු තෝතැන්නක් ලෙස හඳුන්වනු ලැබේ,
2013 සැප්තැම්බර් 10 වන දින බ්රිතාන්ය අගමැති ඩේවිඩ් කැමරන් මෙසේ පැවසීය තවදුරටත් විදේශීය ප්රදේශ හෝ ඔටුන්න මත යැපෙන ප්රදේශ බදු තෝතැන්නක් ලෙස හැඳින්වීම සාධාරණ යැයි මම නොසිතමි,
ඔවුන්ට සාධාරණ හා විවෘත බදු ක්රම ඇති බව සහතික කිරීමට ඔවුන් පියවර ගෙන තිබේ,
අපගේ අවධානය දැන් බදු තෝතැන්නක් වන එම ප්රදේශ සහ රටවල් වෙත යොමු වීම ඉතා වැදගත් වේ,
